,Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
52,52,2013,Audi,Audi A4 2.0 TDI (143bhp),A4,1150000.0,79000.0,Diesel,Mumbai,10,8.0,0,0,8.695652173913044e-07,1.2658227848101267e-05,0.125,0.1,0.05031002858946274,0.0039891090989678975,0.08875000000000001,17.81143211238103,0.0
53,53,2014,Audi,Audi A6 2.0 TDI Premium Plus,A6,1550000.0,71000.0,Diesel,Mumbai,10,7.0,0,0,6.451612903225806e-07,1.4084507042253522e-05,0.14285714285714285,0.1,0.03622489738574695,0.0044885280784943945,0.08875000000000001,14.430436628764674,0.0
54,54,2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1125000.0,65000.0,Petrol,Mumbai,2,9.0,0,0,8.888888888888889e-07,1.5384615384615384e-05,0.1111111111111111,0.5,0.05152291488756049,0.004943767686755086,0.49375,125.7666776133486,0.0
55,55,2018,Mercedes-Benz,Mercedes-Benz E-Class E 200,E-Class,4250000.0,34000.0,Petrol,Mumbai,2,3.0,0,0,2.3529411764705883e-07,2.9411764705882354e-05,0.3333333333333333,0.5,0.010498819510724872,0.009855446009214805,0.49375,51.088583493917234,0.0
56,56,2013,Audi,Audi Q7 35 TDI Technology Pack,Q7,2175000.0,80000.0,Diesel,Mumbai,10,8.0,0,0,4.5977011494252875e-07,1.25e-05,0.125,0.1,0.02458847433670014,0.003933704805926677,0.08875000000000001,8.584237220595536,0.0
57,57,2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,975000.0,67000.0,Petrol,Mumbai,2,11.0,0,0,1.0256410256410257e-06,1.4925373134328359e-05,0.09090909090909091,0.5,0.06010641792025226,0.004782961655976434,0.49375,141.94655426913906,0.0
58,58,2009,BMW,BMW 7 Series 750Li Sedan,7,1850000.0,27000.0,Petrol,Mumbai,4,12.0,1,0,5.405405405405406e-07,3.7037037037037037e-05,0.08333333333333333,0.25,0.02965818081104162,0.012525474249022657,0.240625,89.3880439426878,0.0
59,59,2014,Audi,Audi A6 2.0 TDI Premium,A6,1650000.0,76000.0,Diesel,Mumbai,10,7.0,0,0,6.060606060606061e-07,1.3157894736842106e-05,0.14285714285714285,0.1,0.0337706699790389,0.004164070024361226,0.08875000000000001,12.480329817405144,0.0
60,60,2018,Ford,Ford Endeavour Titanium 2.2 4x2 AT,Endeavour,2900000.0,11100.0,Diesel,Thane,8,3.0,1,1,3.4482758620689656e-07,9.009009009009009e-05,0.3333333333333333,0.125,0.017373892046291115,0.031102273044905857,0.11406250000000001,61.635671878409234,61.635671878409234
61,61,2006,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,175000.0,79915.0,Petrol,Thane,32,15.0,0,0,5.7142857142857145e-06,1.2513295376337359e-05,0.06666666666666667,0.03125,0.3543979504696841,0.003938360250183347,0.019140625,26.715466110521987,0.0
62,62,2013,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,449000.0,67664.0,Diesel,Mumbai,32,8.0,0,0,2.2271714922048998e-06,1.477890754315441e-05,0.125,0.03125,0.1355227196217422,0.0047316759775624575,0.019140625,12.273918064671236,0.0
63,63,2016,Mahindra,Mahindra XUV500 W10 AT,XUV500,1275000.0,72000.0,Diesel,Mumbai,24,5.0,0,0,7.84313725490196e-07,1.388888888888889e-05,0.2,0.041666666666666664,0.04495905962726678,0.004420031378177393,0.0296875,5.899513486611693,0.0
64,64,2018,BMW,BMW X1 sDrive20d Expedition,X1,2500000.0,33500.0,Diesel,Dehradun,4,3.0,0,0,4e-07,2.9850746268656717e-05,0.3333333333333333,0.25,0.020836891545687446,0.010009157656282634,0.240625,50.18468564427789,0.0
65,65,2016,BMW,BMW Z4 sDrive 35i,Z4,4850000.0,26700.0,Petrol,Dehradun,4,5.0,1,0,2.0618556701030927e-07,3.745318352059925e-05,0.2,0.25,0.008671767015591572,0.012671190075914256,0.240625,26.440261960757965,0.0
66,66,2017,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3700000.0,45700.0,Diesel,Dehradun,40,4.0,0,0,2.702702702702703e-07,2.188183807439825e-05,0.25,0.025,0.012694162993052833,0.007218803555462693,0.012812500000000003,1.1740948208946196,0.0
67,67,2018,Jaguar,Jaguar XE Prestige Diesel,XE,3500000.0,23500.0,Diesel,Dehradun,40,3.0,1,1,2.857142857142857e-07,4.2553191489361704e-05,0.3333333333333333,0.025,0.013663535439795045,0.014456984039521954,0.012812500000000003,2.5308981452621695,2.5308981452621695
68,68,2012,Lamborghini,Lamborghini Gallardo India Ltd Edition LP 550-2,Gallardo,12500000.0,14500.0,Petrol,Dehradun,45,9.0,1,0,8e-08,6.896551724137931e-05,0.1111111111111111,0.022222222222222223,0.0007514944491887273,0.02370539545018854,0.010000000000000002,0.17814473096640404,0.0
